x, y
3.3962264150943398, 761.9402985074627
6.7924528301886795, 759.3283582089553
9.622641509433961, 755.9701492537314
13.018867924528301, 753.7313432835821
16.41509433962264, 751.4925373134329
19.81132075471698, 748.8805970149253
23.20754716981132, 746.6417910447761
27.735849056603772, 744.4029850746268
31.132075471698112, 742.1641791044776
35.094339622641506, 739.5522388059701
39.62264150943396, 737.6865671641791
45.283018867924525, 735.4477611940299
51.50943396226415, 733.2089552238806
59.43396226415094, 730.5970149253732
65.09433962264151, 729.1044776119403
71.32075471698113, 727.9850746268656
77.54716981132076, 726.8656716417911
83.77358490566037, 726.4925373134329
91.69811320754717, 725
96.79245283018868, 724.6268656716418
97.35849056603773, 720.5223880597015
97.9245283018868, 716.7910447761194
98.49056603773585, 713.4328358208955
100.18867924528301, 709.7014925373135
101.32075471698113, 706.7164179104477
103.0188679245283, 703.3582089552239
104.15094339622641, 700.3731343283582
105.28301886792453, 696.2686567164179
107.54716981132076, 693.2835820895523
109.81132075471697, 689.5522388059701
111.50943396226415, 686.5671641791045
114.33962264150944, 683.955223880597
117.16981132075472, 680.5970149253732
120, 677.9850746268656
123.39622641509433, 675.3731343283582
127.9245283018868, 672.3880597014926
131.88679245283018, 670.5223880597015
136.41509433962264, 667.9104477611941
140.9433962264151, 665.2985074626865
148.30188679245282, 663.0597014925373
155.0943396226415, 661.1940298507462
163.0188679245283, 658.2089552238806
169.81132075471697, 657.0895522388059
174.9056603773585, 654.8507462686567
181.69811320754715, 652.9850746268656
189.0566037735849, 650.7462686567164
197.54716981132074, 648.8805970149253
205.47169811320754, 647.0149253731344
214.52830188679243, 644.776119402985
221.88679245283018, 643.2835820895523
233.2075471698113, 639.9253731343283
242.26415094339623, 638.0597014925373
249.62264150943395, 635.820895522388
259.811320754717, 633.2089552238806
268.3018867924528, 631.3432835820895
276.22641509433964, 629.4776119402985
285.2830188679245, 627.2388059701492
294.33962264150944, 625
304.52830188679246, 622.3880597014926
314.1509433962264, 620.5223880597015
322.64150943396226, 619.0298507462686
331.1320754716981, 616.4179104477612
339.62264150943395, 614.9253731343283
346.9811320754717, 613.8059701492538
353.77358490566036, 612.6865671641791
360, 611.1940298507462
366.79245283018867, 609.3283582089553
373.58490566037733, 608.2089552238806
380.9433962264151, 606.7164179104477
388.3018867924528, 604.4776119402985
395.66037735849056, 603.7313432835821
401.3207547169811, 602.2388059701492
409.2452830188679, 601.1194029850747
416.0377358490566, 599.2537313432836
423.9622641509434, 597.3880597014926
433.58490566037733, 595.8955223880597
439.811320754717, 594.776119402985
446.60377358490564, 592.9104477611941
453.3962264150943, 591.7910447761194
459.62264150943395, 590.2985074626865
466.9811320754717, 589.179104477612
473.77358490566036, 587.6865671641791
480.566037735849, 586.9402985074627
485.0943396226415, 585.4477611940299
490.75471698113205, 584.3283582089553
496.9811320754717, 582.8358208955224
502.64150943396226, 581.3432835820895
510.566037735849, 580.5970149253732
516.7924528301887, 579.1044776119403
